NormalizedSKU,TotalUnitsSold,AveragePrice,RetailSales,WholesaleSales,AvgProfitPerUnit
B- XPRESTIGE ,288,587.2727272727273,3,8,53.391818181818174
X- RICH BRAID ,127,3557.1428571428573,19,9,323.3757142857143
X- ULTRA BRAID ,74,2700.0,3,1,245.45
X- LAGOS BRAID ,72,2195.0,6,4,199.546
A- DSS ,62,3590.909090909091,9,2,326.44363636363636
"X- 7X 64"" ",56,6012.5,5,3,546.59
X- SUPER BRAID ,35,5085.185185185185,27,0,462.2922222222222
A- SUPER SOFT ,30,5160.0,4,1,469.09400000000005
LUSH WOW ,28,3572.7272727272725,9,2,324.7909090909091
A- KINKY STRAIGHT ,28,2650.0,0,1,240.91
X- BIGGIE ,25,2837.5,1,3,257.955
YEYE WOOL COL.BLACK,22,10000.0,2,1,909.09
X- LOCSTAR ,21,6900.0,1,1,627.27
X- 3X 50 ,21,3207.1428571428573,5,2,291.55428571428575
X- RING BOB ,20,4200.0,0,1,381.82
X- BAHAMA LOCS ,20,4100.0,1,1,372.73
X- SOFT TWIST ,16,3150.0,0,1,286.36
A- NATURAL TWIST ,15,3028.5714285714284,7,0,275.32428571428574
LUSH RONI ,15,4700.0,0,1,427.27
X- CERES ,15,3035.714285714286,7,0,275.9714285714286
B- CURLY BRAID ,14,2850.0,7,0,259.09
LUSH 6X ,10,4900.0,4,1,445.454
LUSH JUMBO ,10,5150.0,5,0,468.184
X- 12X CURLY ,10,6100.0,0,1,554.55
LUSH KINKY TWIST ,9,2980.0,5,0,270.908
50 GMS WOOL LUSH BLACK,8,2500.0,5,0,227.27000000000004
70 GMS WOOL LUSH BLACK,6,4300.0,3,0,390.91
LUSH READY ,6,2500.0,3,0,227.27
PAYMENT LUTOK,5,2000.0,1,0,181.82
60'' FRENCH ,5,4250.0,2,0,386.36
B- XXLPRESTIGE ,5,1580.0,1,0,143.64
X- CURLY PIECE ,5,1150.0,2,0,104.55
X- FOREVER ,4,2966.6666666666665,3,0,269.7
X- 7X 64'' ,4,6000.0,1,0,545.45
A- CURLY BRAID ,4,7000.0,2,0,636.36
A- 7X EASY ,2,5000.0,2,0,454.55
X- MULTI ,2,1700.0,1,0,154.55
40'' FRENCH ,2,3250.0,1,0,295.45
A- BOHEMIAN PASSION TWIST ,2,5800.0,1,0,527.27
"X- 7X 52"" ",2,6000.0,1,0,545.45
LUSH AYRA BRAID ,2,2250.0,1,0,204.55
X- FUNKY ,1,2550.0,1,0,231.82
X- NAOMI BOOM ,1,1900.0,1,0,172.73
X- 7X 72 ,1,7600.0,1,0,690.91
A- DANCING CURL ,1,4500.0,1,0,409.09
LUSH SASHA LOCS ,1,7200.0,1,0,654.55
A- PASSION TWIST ,1,3800.0,1,0,345.45
